recept,kategorija,mesto
1047821209636544,59,8
1047821209636544,71,9
1048081209713619,16,0
1048081209713619,18,1
1048081209713619,21,2
1048081209713619,58,3
1048081209713619,107,4
1048081209713619,140,5
1048081209713619,9948,6
104841044347755,14,0
104841044347755,21,1
104841044347755,22,2
104841044347755,76,3
104841044347755,116,4
1048481209735028,11,0
1048481209735028,32,1
1048481209735028,50,2
1048481209735028,57,3
1048481209735028,109,4
1048481209735028,144,5
1048481209735028,146,6
1048481209735028,151,7
1048781209814182,14,0
1048781209814182,32,1
1048781209814182,34,2
1048781209814182,35,3
1048781209814182,50,4
1048781209814182,57,5
1048781209814182,123,6
1048781209814182,144,7
1048781209814182,150,8
104901044365313,15,0
104901044365313,15,0
104901044365313,16,1
104901044365313,16,1
104901044365313,18,2
104901044365313,18,2
104901044365313,9948,3
104901044365313,9948,3
1049521209905815,18,0
1049521209905815,19,1
1049521209905815,40,2
1049521209905815,42,3
1049521209905815,47,4
1049521209905815,49,5
1049521209905815,50,6
1049521209905815,144,7
1049981209974299,18,0
1049981209974299,18,0
1049981209974299,19,1
1049981209974299,19,1
1049981209974299,40,2
1049981209974299,40,2
1049981209974299,42,3
1049981209974299,42,3
1049981209974299,47,4
1049981209974299,47,4
1049981209974299,48,5
1049981209974299,48,5
1049981209974299,71,6
1049981209974299,71,6
1049981209974299,78,7
1049981209974299,78,7
1049981209974299,144,8
1049981209974299,144,8
1049981209974299,159,9
1049981209974299,159,9
1050031209975052,15,0
1050031209975052,15,0
1050031209975052,15,0
1050031209975052,16,1
1050031209975052,16,1
1050031209975052,16,1
1050031209975052,18,2
1050031209975052,18,2
1050031209975052,18,2
1050031209975052,27,3
1050031209975052,27,3
1050031209975052,27,3
1050031209975052,56,4
1050031209975052,56,4
1050031209975052,56,4
1050031209975052,71,5
1050031209975052,71,5
1050031209975052,71,5
1050031209975052,110,6
1050031209975052,110,6
1050031209975052,110,6
1050051209975231,15,0
1050051209975231,15,0
1050051209975231,18,1
1050051209975231,18,1
1050051209975231,32,2
1050051209975231,32,2
1050051209975231,36,3
1050051209975231,36,3
1050051209975231,48,4
1050051209975231,48,4
1050051209975231,56,5
1050051209975231,56,5
1050051209975231,68,6
1050051209975231,68,6
1050051209975231,71,7
1050051209975231,71,7
1050051209975231,144,8
1050051209975231,144,8
1050091209975677,19,0
1050091209975677,20,1
1050091209975677,27,2
1050091209975677,45,3
1050091209975677,48,4
1050091209975677,49,5
1050091209975677,50,6
1050091209975677,71,7
1050121209976105,18,0
1050121209976105,21,1
1050121209976105,45,2
1050121209976105,50,3
1050121209976105,58,4
1050121209976105,69,5
1050121209976105,71,6
1050121209976105,74,7
1050121209976105,211,8
1050161209976398,10,0
1050161209976398,10,0
1050161209976398,11,1
1050161209976398,11,1
1050161209976398,27,2
1050161209976398,27,2
1050161209976398,45,3
1050161209976398,45,3
1050161209976398,126,4
1050161209976398,126,4
1050171209976470,11,0
1050171209976470,27,1
1050171209976470,32,2
1050171209976470,45,3
1050171209976470,50,4
1050171209976470,57,5
1050171209976470,126,6
1050171209976470,7710,7
1050181209976653,10,0
1050181209976653,10,0
1050181209976653,11,1
1050181209976653,11,1
1050181209976653,50,2
1050181209976653,50,2
1050251209977669,11,0
1050251209977669,50,1
1050251209977669,144,2
1050251209977669,150,3
1050251209977669,151,4
1050391209981859,10,0
1050391209981859,11,1
1050391209981859,27,2
1050391209981859,32,3
1050391209981859,45,4
1050391209981859,50,5
1050491209989925,15,0
1050491209989925,18,1
1050491209989925,29,2
1050491209989925,32,3
1050491209989925,36,4
1050491209989925,49,5
1050491209989925,50,6
1050491209989925,57,7
1050491209989925,130,8
1050551210048241,16,0
1050551210048241,21,1
1050551210048241,22,2
1050551210048241,29,3
1050551210048241,59,4
1050551210048241,65,5
1050551210048241,66,6
1050551210048241,7710,7
1050551210048241,9948,8
1051191210075417,11,0
1051191210075417,32,1
1051191210075417,50,2
1051191210075417,57,3
1051191210075417,79,4
1051191210075417,115,5
1051191210075417,144,6
1051191210075417,151,7
1051191210075417,5999,8
105121044433192,11,0
105121044433192,12,1
105121044433192,50,2
1051211210076505,16,0
1051211210076505,19,1
1051211210076505,40,2
1051211210076505,41,3
1051211210076505,42,4
1051211210076505,54,5
1051211210076505,144,6
1051211210076505,159,7
1051211210076505,9947,8
1051211210076505,9948,9
1053681210340190,15,0
